R21M, -33.381000 -70.796167 499 
R18M, -33.508500 -70.748833 521 
R19M, -33.698500 -71.217167 208 
R05M, -33.443167 -70.534333 732 
R20M, -33.665167 -70.929333 365 
V06A, -33.037500 -71.632667 47 
A30C, -27.069833 -70.820500 59 
A10F, -25.411000 -70.484167 66 
A16C, -26.249500 -69.625500 2272 
A17C, -26.753500 -69.905667 1624 
A19C, -27.830333 -70.108000 997 
A27C, -27.367167 -70.330667 425 
A28C, -27.466500 -70.265333 520 
A29C, -27.421833 -70.259667 494 
C15O, -29.373000 -71.114833 317 
A01C, -27.070500 -70.826833 63 
A04C, -27.299667 -70.413167 344 
A05C, -27.361167 -70.339833 413 
A06C, -27.349333 -70.347833 398 
A08C, -27.360333 -70.338500 420 
A09C, -28.574667 -70.783000 441 
A10C, -28.580000 -70.758000 422 
A11C, -28.602000 -70.762667 563 
A12C, -28.593667 -70.756833 578 
A14C, -26.342000 -70.612167 61 
A15C, -26.392500 -70.047833 823 
A23F, -22.336833 -68.650500 2583 
A26F, -25.108667 -70.495833 48 
B05I, -36.547833 -72.936000 34 
B16I, -36.801667 -72.029000 253 
B09I, -37.329167 -71.659500 588 
B22I, -36.690333 -73.113667 154 
B07I, -36.815667 -73.026500 35 
B20I, -36.910833 -71.479333 1273 
B15I, -37.462333 -72.350500 158 
B18I, -37.470333 -72.366667 157 
B11I, -38.344667 -73.493500 25 
AY05, -45.150833 -73.511667 20 
V25A, -33.194000 -71.792500 3 
